centers,governorate_id,military
قسم الأزبكية,1,القاهرة
قسم الجمالية,1,القاهرة
قسم الخليفة,1,القاهرة
قسم الدرب الأحمر,1,القاهرة
قسم الزيتون ,1,القاهرة
قسم الساحل,1,القاهرة
قسم السيدة زينب,1,القاهرة
قسم الظاهر,1,القاهرة
قسم المطرية,1,القاهرة
قسم المعادي,1,القاهرة
قسم الموسكي,1,القاهرة
قسم الوايلي,1,القاهرة
قسم باب الشعرية,1,القاهرة
قسم بولاق أبو العلا,1,القاهرة
قسم حلوان,1,القاهرة
قسم روض الفرج,1,القاهرة
قسم شبرا مصر,1,القاهرة
قسم عابدين,1,القاهرة
قسم قصر النيل,1,القاهرة
قسم مصر الجديدة,1,القاهرة
قسم مصر القديمة,1,القاهرة
قسم النزهة,1,القاهرة
قسم حدائق القبة,1,القاهرة
قسم مدينة نصر,1,القاهرة
قسم التبين,1,القاهرة
قسم الشرابية,1,القاهرة
قسم عين شمس,1,القاهرة
قسم الزاوية الحمراء,1,القاهرة
قسم السلام,1,القاهرة
قسم الزمالك,1,القاهرة
قسم منشية ناصر,1,القاهرة
قسم البساتين,1,القاهرة
قسم 15-مايو,1,القاهرة
قسم طرة المعادي,1,القاهرة
قسم ثان مدينة نصر,1,القاهرة
قسم المرج,1,القاهرة
قسم القاهرة الجديدة,1,القاهرة
قسم مدينة الأمل,1,القاهرة
قسم مدينة بدر,1,القاهرة
مركز الشروق,1,القاهرة
قسم التجمع الأول,1,القاهرة
قسم أول القاهرة الجديدة,1,القاهرة
قسم ثان القاهرة الجديدة,1,القاهرة
قسم ثالث القاهرة,1,القاهرة
مركز البدرشين,2,الجيزة
مركز الجيزة,2,الجيزة
قسم الشيخ زايد,2,الجيزة
قسم الصف,2,الجيزة
مركز العياط,2,الجيزة
قسم الواحات البحرية,2,الجيزة
قسم امبابة,2,الجيزة
قسم الجيزة,2,الجيزة
قسم الدقي,2,الجيزة
قسم الأهرام,2,الجيزة
قسم امبابة,2,الجيزة
قسم العجوزة,2,الجيزة
قسم بولاق الدكرور,2,الجيزة
مركز الحوامدية,2,الجيزة
مركز اوسيم,2,الجيزة
مركز اطفيح,2,الجيزة
قسم 06-أكتوبر,2,الجيزة
قسم العمرانية,2,الجيزة
قسم وراق الحضر,2,الجيزة
مركز الشيخ زايد,2,الجيزة
مركز كرداسة ,2,الجيزة
قسم أول 6 اكتوبر,2,الجيزة
قسم ثان 6 اكتوبر,2,الجيزة
قسم الجمرك,3,الأسكندرية
